id,review
1,"The delivery was very fast. The product was well packed."
2,"The laptop works perfectly. The battery lasts a long time."
3,"Customer service was excellent. Very helpful staff."
4,"The item arrived scratched. The box was damaged."
5,"Very bad service. Support never replied."
6,"The headphones have good sound quality. They are slightly uncomfortable."
7,"The price matches the quality. I am satisfied with the purchase."
8,"The application crashes frequently after the update."
9,"Everything works normally. Nothing special."
10,"The courier was two days late."
11,"The smartphone design looks modern and stylish."
12,"The build quality is average. I expected something better."
13,"After one month of use. The phone stopped charging."
14,"The mouse is comfortable for work and gaming."
15,"An ordinary product for its price."
16,"Support helped solve the issue quickly."
17,"The screen has dead pixels."
18,"The system runs stable. However, the interface is inconvenient."
19,"I am very happy with the purchase. Highly recommended."
20,"The product does not match the description on the website."
